t,hz,budget_ms,infer_ms,loop_ms,miss,cpu_sys_pct_1hz,cpu_proc_pct_1hz,cpu_proc_pct_1hz_norm,rss_mb,temp_c,cpu_khz,a0,a1,a2,a3,bg_workers,bg_load,inloop_burn_ms,io_mb_s,io_target,net_mbps,net_dst,net_port,opencv_fps,opencv_w,opencv_h
0.1600557800002207,100.0,10.0,0.06720300007145852,0.07772299977659713,0,42.9,0.0,0.0,41.046875,47.4,2400000.0,0.7615940570831299,-0.7615940570831299,-0.7615928649902344,0.7615940570831299,0,0.0,0.0,0.0,/dev/shm/intercept_tmp/io_stress.bin,0.0,127.0.0.1,50099,0.0,640,480
0.1700556410005447,100.0,10.0,0.06533300074806903,0.07392499992420198,0,42.9,0.0,0.0,41.046875,46.3,2400000.0,0.7615940570831299,-0.7615940570831299,-0.7615926861763,0.7615940570831299,0,0.0,0.0,0.0,/dev/shm/intercept_tmp/io_stress.bin,0.0,127.0.0.1,50099,0.0,640,480
0.18005683400042471,100.0,10.0,0.06029700034559937,0.06853699960629456,0,42.9,0.0,0.0,41.046875,46.3,2400000.0,0.7615940570831299,-0.7615940570831299,-0.7615931034088135,0.7615940570831299,0,0.0,0.0,0.0,/dev/shm/intercept_tmp/io_stress.bin,0.0,127.0.0.1,50099,0.0,640,480
0.19005632400057948,100.0,10.0,0.05842599966854323,0.0659809993521776,0,42.9,0.0,0.0,41.046875,47.4,2400000.0,0.7615940570831299,-0.7615940570831299,-0.7615929245948792,0.7615940570831299,0,0.0,0.0,0.0,/dev/shm/intercept_tmp/io_stress.bin,0.0,127.0.0.1,50099,0.0,640,480
0.20005468399995152,100.0,10.0,0.05809300000692019,0.0654440000289469,0,42.9,0.0,0.0,41.046875,47.95,2400000.0,0.7615940570831299,-0.7615940570831299,-0.7615930438041687,0.7615940570831299,0,0.0,0.0,0.0,/dev/shm/intercept_tmp/io_stress.bin,0.0,127.0.0.1,50099,0.0,640,480
0.21005648800019117,100.0,10.0,0.05677799981640419,0.06329700045171194,0,42.9,0.0,0.0,41.046875,47.4,2400000.0,0.7615940570831299,-0.7615940570831299,-0.7615928053855896,0.7615940570831299,0,0.0,0.0,0.0,/dev/shm/intercept_tmp/io_stress.bin,0.0,127.0.0.1,50099,0.0,640,480
0.22005577400068432,100.0,10.0,0.05783300002804026,0.0648339992039837,0,42.9,0.0,0.0,41.046875,46.3,2400000.0,0.7615940570831299,-0.7615940570831299,-0.7615927457809448,0.7615940570831299,0,0.0,0.0,0.0,/dev/shm/intercept_tmp/io_stress.bin,0.0,127.0.0.1,50099,0.0,640,480
0.2300565599998663,100.0,10.0,0.05688900000677677,0.06361200030369218,0,42.9,0.0,0.0,41.046875,46.3,2400000.0,0.7615940570831299,-0.7615940570831299,-0.7615927457809448,0.7615940570831299,0,0.0,0.0,0.0,/dev/shm/intercept_tmp/io_stress.bin,0.0,127.0.0.1,50099,0.0,640,480
0.24005645800025377,100.0,10.0,0.05638899983750889,0.0628139996479149,0,42.9,0.0,0.0,41.0625,46.3,2400000.0,0.7615940570831299,-0.7615940570831299,-0.7615930438041687,0.7615940570831299,0,0.0,0.0,0.0,/dev/shm/intercept_tmp/io_stress.bin,0.0,127.0.0.1,50099,0.0,640,480
0.2500553179997951,100.0,10.0,0.05812899962620577,0.06492600005003624,0,42.9,0.0,0.0,41.0625,46.85,2400000.0,0.7615940570831299,-0.7615940570831299,-0.7615930438041687,0.7615940570831299,0,0.0,0.0,0.0,/dev/shm/intercept_tmp/io_stress.bin,0.0,127.0.0.1,50099,0.0,640,480
