t,infer_ms,loop_ms,cpu_pct,rss_mb,miss,a0,a1,a2,a3
6.62229999761621e-05,0.11125999998284897,0.15662999999221938,0.0,38.5,0,0.76159406,-0.76159406,-0.7615924,0.76159406
0.020058032000008552,0.07190700000592187,0.0992779999933191,0.0,38.546875,0,0.76159406,-0.76159406,-0.761593,0.76159406
0.04005791499997713,0.06020399996486958,0.07681499999989683,0.0,38.546875,0,0.76159406,-0.76159406,-0.7615929,0.76159406
0.06005805799998143,0.05916699996078023,0.07503699998778757,0.0,38.546875,0,0.76159406,-0.76159406,-0.76159304,0.76159406
0.08005647799996041,0.05827799998314731,0.07390800004714038,0.0,38.546875,0,0.76159406,-0.76159406,-0.76159304,0.76159406
0.1000570829999674,0.059129999954166124,0.07513000002745684,50.0,38.546875,0,0.76159406,-0.76159406,-0.76159304,0.76159406
0.1200567999999862,0.061110999979518965,0.07668599999988146,0.0,38.546875,0,0.76159406,-0.76159406,-0.761593,0.76159406
0.14005677599999444,0.06287100001145518,0.08031499999106018,0.0,38.546875,0,0.76159406,-0.76159406,-0.7615929,0.76159406
0.16005699300001197,0.06033299996488495,0.07531500000368396,0.0,38.546875,0,0.76159406,-0.76159406,-0.76159286,0.76159406
0.18005719100000306,0.05794500003730718,0.0721669999848018,0.0,38.546875,0,0.76159406,-0.76159406,-0.7615931,0.76159406
0.20005679600001258,0.05707399998300389,0.07194500000196058,0.0,38.546875,0,0.76159406,-0.76159406,-0.76159304,0.76159406
0.2200568089999706,0.05692599995654746,0.07239000001391105,0.0,38.546875,0,0.76159406,-0.76159406,-0.76159275,0.76159406
0.24005687799996167,0.05601800000931689,0.07033300005332421,0.0,38.546875,0,0.76159406,-0.76159406,-0.76159304,0.76159406
0.26005589099997906,0.056369999981598085,0.07090700000844663,0.0,38.546875,0,0.76159406,-0.76159406,-0.76159286,0.76159406
0.28005653299999267,0.05581499999607331,0.07039000001896056,0.0,38.546875,0,0.76159406,-0.76159406,-0.7615927,0.76159406
0.3000567689999798,0.05546300002379212,0.06972200003474427,0.0,38.546875,0,0.76159406,-0.76159406,-0.7615927,0.76159406
0.32005576299997074,0.0567590000173368,0.0710740000045007,0.0,38.546875,0,0.76159406,-0.76159406,-0.7615927,0.76159406
0.340056479999987,0.05570399997623099,0.0700549999805844,0.0,38.546875,0,0.76159406,-0.76159406,-0.7615925,0.76159406
0.36005658499999527,0.05648100000144041,0.07148200000983707,0.0,38.546875,0,0.76159406,-0.76159406,-0.76159304,0.76159406
0.38005496799996763,0.056963000020004984,0.07172300001911935,0.0,38.546875,0,0.76159406,-0.76159406,-0.7615929,0.76159406
0.4000567410000144,0.0565549999578252,0.07055599996874662,0.0,38.546875,0,0.76159406,-0.76159406,-0.7615929,0.76159406
0.42005645699998695,0.05620399997496861,0.06975999997393956,0.0,38.546875,0,0.76159406,-0.76159406,-0.7615929,0.76159406
0.4400563780000084,0.055685000006633345,0.070055999970009,0.0,38.546875,0,0.76159406,-0.76159406,-0.76159275,0.76159406
0.4600566309999863,0.05424099998663223,0.06798200001867372,0.0,38.546875,0,0.76159406,-0.76159406,-0.7615927,0.76159406
0.48005658900001436,0.055444999986775656,0.06972199997790085,0.0,38.546875,0,0.76159406,-0.76159406,-0.76159275,0.76159406
0.500055897999971,0.05640700004505561,0.07059300003220415,0.0,38.546875,0,0.76159406,-0.76159406,-0.7615926,0.76159406
0.5200567439999872,0.05518599999732032,0.06881500002009489,0.0,38.546875,0,0.76159406,-0.76159406,-0.7615927,0.76159406
0.5400564789999862,0.0553520000039498,0.06948200001488658,0.0,38.546875,0,0.76159406,-0.76159406,-0.7615932,0.76159406
0.5600558259999957,0.058204000026762515,0.07227800000464413,0.0,38.546875,0,0.76159406,-0.76159406,-0.76159316,0.76159406
0.5800565050000159,0.05513000002110857,0.06955599997127138,0.0,38.546875,0,0.76159406,-0.76159406,-0.76159304,0.76159406
0.6000564439999607,0.05551900000000387,0.06961200000432655,0.0,38.546875,0,0.76159406,-0.76159406,-0.76159316,0.76159406
0.6200558279999768,0.056037999968339136,0.07140700000718425,0.0,38.546875,0,0.76159406,-0.76159406,-0.7615931,0.76159406
0.640057062999972,0.05531499999733569,0.06887000000688204,0.0,38.546875,0,0.76159406,-0.76159406,-0.7615929,0.76159406
0.6600566500000014,0.05666700002393554,0.07092599997804427,0.0,38.546875,0,0.76159406,-0.76159406,-0.76159316,0.76159406
0.6800556629999619,0.05550000003040623,0.06948200001488658,0.0,38.546875,0,0.76159406,-0.76159406,-0.76159316,0.76159406
0.7000561199999993,0.05635200000142504,0.07081500001504537,0.0,38.546875,0,0.76159406,-0.76159406,-0.76159304,0.76159406
0.7200564849999864,0.056037999968339136,0.07048200001236182,0.0,38.546875,0,0.76159406,-0.76159406,-0.76159316,0.76159406
0.7400557569999933,0.05737099996849793,0.07137099998999474,0.0,38.546875,0,0.76159406,-0.76159406,-0.7615924,0.76159406
0.760056732999999,0.055629000030421594,0.06972299996732545,0.0,38.546875,0,0.76159406,-0.76159406,-0.761593,0.76159406
0.7800565609999808,0.05555600000661798,0.06883300000026793,0.0,38.546875,0,0.76159406,-0.76159406,-0.7615929,0.76159406
0.8000558520000141,0.05542600001717801,0.06886999995003862,0.0,38.546875,0,0.76159406,-0.76159406,-0.7615931,0.76159406
0.8200564759999907,0.05586999998286046,0.0693150000188325,0.0,38.546875,0,0.76159406,-0.76159406,-0.7615929,0.76159406
0.8400565069999857,0.05555600000661798,0.0689629999897079,0.0,38.546875,0,0.76159406,-0.76159406,-0.76159286,0.76159406
0.8600557979999621,0.055981999992127385,0.07009300003346652,0.0,38.546875,0,0.76159406,-0.76159406,-0.76159286,0.76159406
0.8800549769999861,0.05629600002521329,0.07118600001376763,0.0,38.546875,0,0.76159406,-0.76159406,-0.7615927,0.76159406
0.9000567310000065,0.056130000018583814,0.07055599996874662,0.0,38.546875,0,0.76159406,-0.76159406,-0.7615928,0.76159406
0.920055705999971,0.055093000014494464,0.06907400000955022,0.0,38.546875,0,0.76159406,-0.76159406,-0.7615929,0.76159406
0.9400567179999939,0.056055000015931,0.07027800000969364,0.0,38.546875,0,0.76159406,-0.76159406,-0.7615929,0.76159406
0.9600563959999704,0.055092999957651045,0.06901900002276307,0.0,38.546875,0,0.76159406,-0.76159406,-0.7615927,0.76159406
0.9800557419999905,0.0553520000039498,0.06946299998844552,0.0,38.546875,0,0.76159406,-0.76159406,-0.7615927,0.76159406
1.0000567719999935,0.05503700003828271,0.06890800000292074,0.0,38.546875,0,0.76159406,-0.76159406,-0.7615927,0.76159406
