file,hz,budget_ms,burn_ms,bg_workers,bg_load,steps,misses,miss_rate,loop_p95,loop_max,infer_p95,infer_max,headroom_p95,headroom_min,headroom_mean
bench_rt_1768492894.csv,50.0,20.0,0.0,0,0.0,6001,0,0.0,0.10211100016022101,0.34409199906804133,0.09074100125872064,0.13433399908535648,19.905555001532775,19.65590800093196,19.89852827730298
bench_rt_1768493021.csv,100.0,10.0,0.0,0,0.0,12001,0,0.0,0.10094400022353511,0.34566599970276,0.09051900087797549,0.15886999972281046,9.905906999629224,9.65433400029724,9.900950159072016
bench_rt_1768493399.csv,50.0,20.0,0.0,2,0.3,6001,0,0.0,0.08822200106806122,0.29757400079688523,0.07670400009374134,0.20803600091312546,19.91970400151331,19.702425999203115,19.913935651554592
bench_rt_1768493534.csv,50.0,20.0,3.0,0,0.0,6001,0,0.0,3.0958509996708017,4.320811998695717,0.08479600001010112,0.3883139997924445,16.915390000140178,15.679188001304283,16.90460079819862
bench_rt_1768514555.csv,50.0,20.0,10.0,0,0.0,6001,0,0.0,10.077656996145379,10.274934000335634,0.05922200216446072,0.13518500054487959,9.937676000408828,9.725065999664366,9.932613754386445
bench_rt_1768514675.csv,50.0,20.0,15.0,0,0.0,6001,0,0.0,15.065857005538419,15.24891200097045,0.05790800059912726,0.12731500464724377,4.938605994102545,4.751087999029551,4.933433618277584
bench_rt_1768514796.csv,50.0,20.0,18.0,0,0.0,6001,0,0.0,18.066003001877107,18.268742998770904,0.05837000207975507,0.2610360024846159,1.9379600012325682,1.7312570012290962,1.9333059204885246
bench_rt_1768519983.csv,100.0,10.0,5.0,0,0.0,12001,0,0.0,5.065402998297941,5.259792000288144,0.05824100662721321,0.1253139998880215,4.937725998170208,4.740207999711856,4.934621757213868
bench_rt_1768520103.csv,100.0,10.0,7.0,0,0.0,12001,0,0.0,7.0647899992764,7.254419004311785,0.05770399729954079,0.13379599840845913,2.938377006794326,2.745580995688215,2.9351156505947578
bench_rt_1768520223.csv,100.0,10.0,8.0,0,0.0,12001,0,0.0,8.064437999564689,8.251752005890012,0.05764799425378442,0.12311099999351427,1.9400259968824685,1.7482479941099882,1.9363483506578925
