episode,success,near_miss,fail,first_pass_success,steps,time_s,capture_time_s,min_dist_m,init_px_m,init_py_m,init_pz_m,init_dist_m,init_bearing_rad
15,0,1,0,0,1251,25.04,nan,1.4211816787719727,128.38551330566406,-17.60345458984375,108.92955017089844,169.28782653808594,-0.13626433908939362
16,0,0,1,0,1251,25.04,nan,1.5079150199890137,138.07623291015625,-11.855279922485352,85.7807846069336,162.98446655273438,-0.08565033227205276
17,0,0,1,0,1251,25.04,nan,1.6279264688491821,161.03907775878906,20.251760482788086,102.96588134765625,192.21261596679688,0.12510009109973907
18,0,1,0,0,1251,25.04,nan,1.0193169116973877,134.6796112060547,6.783870220184326,89.84794616699219,162.04095458984375,0.05032789707183838
19,0,1,0,0,1251,25.04,nan,1.151124119758606,172.2527313232422,-29.129413604736328,85.94133758544922,194.6931915283203,-0.16752363741397858
20,1,0,0,1,268,5.38,5.38,0.9496549963951111,149.51480102539062,-0.41398823261260986,111.7384033203125,186.65560913085938,-0.002768870908766985
21,0,0,1,0,1251,25.04,nan,1.618721842765808,164.55078125,30.742799758911133,103.39530944824219,196.75535583496094,0.18469932675361633
22,1,0,0,0,270,5.42,5.42,0.3363804817199707,155.17852783203125,-38.480918884277344,110.35906982421875,194.26858520507812,-0.24307505786418915
23,1,0,0,0,240,4.82,4.82,0.7565821409225464,135.13677978515625,-5.741067886352539,95.72066497802734,165.70260620117188,-0.04245785251259804
24,1,0,0,0,245,4.92,4.92,0.6573998332023621,166.260986328125,-3.3802502155303955,93.54471588134766,190.80029296875,-0.020328186452388763
25,0,1,0,0,1251,25.04,nan,1.3193626403808594,163.39263916015625,9.067939758300781,114.7853012084961,199.88758850097656,0.05544097349047661
26,0,0,1,0,1251,25.04,nan,1.683880090713501,178.7438201904297,-31.481773376464844,88.01322174072266,201.7096405029297,-0.17433984577655792
27,0,0,1,0,1251,25.04,nan,2.7474353313446045,163.3519287109375,33.59257125854492,84.91702270507812,187.1448974609375,0.2028178870677948
28,0,1,0,0,1251,25.04,nan,1.1823205947875977,160.3604278564453,21.430700302124023,107.17513275146484,194.0650634765625,0.1328536421060562
29,1,0,0,0,235,4.72,4.72,0.524462878704071,136.7223358154297,-19.121797561645508,93.73693084716797,166.8689727783203,-0.13895727694034576
30,0,1,0,0,1251,25.04,nan,1.0139307975769043,173.81976318359375,-23.193490982055664,83.52391052246094,194.23565673828125,-0.13265058398246765
31,0,1,0,0,1251,25.04,nan,1.2694714069366455,178.77877807617188,-28.878267288208008,95.38707733154297,204.68145751953125,-0.16014742851257324
32,1,0,0,1,237,4.76,4.76,0.9887118935585022,142.75347900390625,9.868728637695312,83.23629760742188,165.542236328125,0.06902144849300385
33,1,0,0,1,258,5.18,5.18,0.9878025054931641,134.7669219970703,-7.532257080078125,112.23140716552734,175.54129028320312,-0.05583290383219719
34,1,0,0,1,258,5.18,5.18,0.9190841317176819,177.5900421142578,-5.448353290557861,83.83513641357422,196.45925903320312,-0.030669761821627617
